epoch,train_loss,val_loss,lr,grad_norm_mean,grad_norm_max,skipped
1,0.99886341,0.98862812,0.00040000,0.03169326,0.03489915,0
2,0.97871226,0.95727390,0.00070000,0.03513135,0.04465153,0
3,0.90120998,0.80986750,0.00100000,0.14183331,0.39390227,0
4,0.75561755,0.70234594,0.00100000,0.87279916,1.26296520,0
5,0.67662235,0.65140021,0.00099894,0.82875370,0.99889779,0
6,0.62465390,0.61224797,0.00099576,0.62678531,0.75852489,0
7,0.58760980,0.62763435,0.00099048,0.51696812,0.58369321,0
8,0.51360740,0.54869688,0.00098312,0.49273834,0.60012704,0
9,0.52865937,0.60855421,0.00097372,0.50512431,0.58465379,0
10,0.46906552,0.42577435,0.00096231,0.54908956,0.61664730,0
11,0.45267358,0.44379705,0.00094895,0.50760148,0.57199436,0
12,0.42937720,0.42667049,0.00093369,0.52756323,0.64047432,0
13,0.38783818,0.44495893,0.00091661,0.45718191,0.55363113,0
14,0.38863998,0.41379049,0.00089778,0.43056549,0.47691041,0
15,0.36504391,0.34598817,0.00087728,0.50420539,0.56914538,0
16,0.31924246,0.47398373,0.00085522,0.43385606,0.51938039,0
17,0.34776861,0.33294240,0.00083167,0.44308913,0.51530510,0
18,0.30256889,0.27062453,0.00080676,0.41344011,0.47023550,0
19,0.30542923,0.23419221,0.00078059,0.41413166,0.47668678,0
20,0.33054800,0.29281801,0.00075328,0.43463360,0.50892735,0
21,0.33243294,0.41637576,0.00072494,0.45502005,0.53001076,0
22,0.29323056,0.28022587,0.00069572,0.43289022,0.48561886,0
23,0.27652053,0.28398743,0.00066573,0.39965406,0.48250148,0
24,0.26902069,0.24140233,0.00063511,0.37625592,0.47299996,0
25,0.28588149,0.35446198,0.00060401,0.36566038,0.42326558,0
26,0.27625038,0.24850363,0.00057255,0.35205767,0.38715130,0
27,0.25256495,0.37256640,0.00054087,0.35094113,0.42160895,0
28,0.24278134,0.24611209,0.00050913,0.35772823,0.40394300,0
29,0.25036662,0.21534883,0.00047745,0.30900428,0.35437205,0
30,0.22932131,0.19186684,0.00044599,0.27910604,0.30470115,0
31,0.23134094,0.24452099,0.00041489,0.26536371,0.30021557,0
32,0.25162714,0.19297422,0.00038427,0.28630149,0.31817842,0
33,0.24731418,0.25535893,0.00035428,0.29090893,0.32769445,0
34,0.26282419,0.18747602,0.00032506,0.29548277,0.35821551,0
35,0.23491472,0.18294270,0.00029672,0.25626970,0.30511001,0
36,0.21147049,0.25649904,0.00026941,0.23526305,0.27253416,0
37,0.22454217,0.26454867,0.00024324,0.22065968,0.29511300,0
38,0.22701337,0.27874085,0.00021833,0.22236496,0.25729892,0
39,0.21285708,0.20652392,0.00019478,0.20759634,0.24679081,0
40,0.24267338,0.25339852,0.00017272,0.20285048,0.26171818,0
41,0.24989932,0.23842351,0.00015222,0.19359268,0.23563612,0
42,0.25456023,0.22610676,0.00013339,0.18640267,0.24099103,0
43,0.22157748,0.28212148,0.00011631,0.17267816,0.21954124,0
44,0.19100347,0.19869830,0.00010105,0.15589693,0.18206149,0
45,0.19518220,0.18526930,0.00008769,0.14723707,0.16238809,0
